iter	Passed	Remaining
0	213	106596
1	259	64599
2	306	50696
3	367	45510
4	422	41865
5	464	38233
6	514	36237
7	552	33961
8	618	33760
9	661	32417
10	713	31709
11	759	30884
12	814	30513
13	858	29812
14	912	29518
15	954	28882
16	998	28378
17	1043	27947
18	1094	27718
19	1146	27508
20	1197	27306
21	1261	27416
22	1311	27205
23	1368	27148
24	1431	27196
25	1478	26961
26	1544	27057
27	1609	27131
28	1673	27176
29	1739	27245
30	1797	27190
31	1847	27016
32	1892	26780
33	1944	26648
34	2002	26609
35	2035	26237
36	2066	25863
37	2101	25550
38	2145	25364
39	2204	25349
40	2246	25147
41	2315	25251
42	2373	25223
43	2412	25000
44	2478	25062
45	2529	24968
46	2579	24861
47	2617	24646
48	2659	24478
49	2705	24350
50	2777	24454
51	2831	24395
52	2889	24371
53	2947	24346
54	2991	24204
55	3050	24183
56	3087	23992
57	3146	23981
58	3189	23838
59	3258	23892
60	3311	23835
61	3378	23866
62	3446	23905
63	3499	23837
64	3543	23715
65	3600	23677
66	3659	23649
67	3705	23543
68	3758	23478
69	3834	23555
70	3935	23781
71	3982	23672
72	4040	23634
73	4111	23668
74	4158	23566
75	4209	23484
76	4258	23396
77	4317	23356
78	4377	23326
79	4433	23274
80	4503	23297
81	4547	23183
82	4603	23130
83	4648	23021
84	4720	23046
85	4760	22915
86	4811	22843
87	4894	22915
88	4935	22790
89	4995	22755
90	5043	22667
91	5110	22665
92	5154	22558
93	5229	22585
94	5297	22583
95	5340	22476
96	5395	22414
97	5456	22381
98	5529	22397
99	5579	22316
100	5642	22289
101	5696	22225
102	5736	22109
103	5793	22061
104	5841	21976
105	5890	21893
106	5969	21926
107	6007	21804
108	6054	21717
109	6126	21720
110	6186	21679
111	6237	21609
112	6285	21526
113	6361	21540
114	6431	21531
115	6474	21431
116	6545	21428
117	6598	21361
118	6646	21281
119	6703	21228
120	6748	21139
121	6826	21150
122	6887	21109
123	6941	21047
124	6990	20971
125	7050	20927
126	7100	20855
127	7157	20801
128	7219	20762
129	7293	20758
130	7342	20681
131	7390	20603
132	7444	20542
133	7496	20474
134	7540	20388
135	7624	20408
136	7668	20319
137	7715	20239
138	7763	20162
139	7810	20084
140	7864	20024
141	7916	19957
142	7965	19886
143	8026	19843
144	8093	19816
145	8160	19786
146	8243	19795
147	8306	19756
148	8364	19703
149	8442	19698
150	8519	19691
151	8580	19644
152	8643	19602
153	8700	19547
154	8751	19479
155	8805	19416
156	8924	19497
157	8971	19418
158	9022	19350
159	9060	19254
160	9112	19186
161	9163	19118
162	9182	18984
